sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,description,image,image_label,msrp_display_actual_price_type,name,price,short_description,small_image,small_image_label,special_price,status,thumbnail,thumbnail_label,updated_at,url_key,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
SKUE1221,,Default,simple,,Home,base,"Amazon Redshift is a fast and powerful, fully managed, petabyte-scale data warehouse service in the cloud. Customers can start small for just $0.25 per hour with no commitments or upfront costs and scale to a petabyte or more for $1,000 per terabyte per year, less than a tenth of most other data warehousing solutions.

Traditional data warehouses require significant time and resource to administer, especially for large datasets. In addition, the financial cost associated with building, maintaining, and growing self-managed, on-premise data warehouses is very high. Amazon Redshift not only significantly lowers the cost of a data warehouse, but also makes it easy to analyze large amounts of data very quickly.

Amazon Redshift gives you fast querying capabilities over structured data using familiar SQL-based clients and business intelligence (BI) tools using standard ODBC and JDBC connections. Queries are distributed and parallelized across multiple physical resources. You can easily scale an Amazon Redshift data warehouse up or down with a few clicks in the AWS Management Console or with a single API call. Amazon Redshift automatically patches and backs up your data warehouse, storing the backups for a user-defined retention period. Amazon Redshift uses replication and continuous backups to enhance availability and improve data durability and can automatically recover from component and node failures. In addition, Amazon Redshift supports Amazon Virtual Private Cloud (Amazon VPC), SSL, AES-256 encryption and Hardware Security Modules (HSMs) to protect your data in transit and at rest.

As with all Amazon Web Services, there are no up-front investments required, and you pay only for the resources you use. Amazon Redshift lets you pay as you go. You can even try Amazon Redshift for free.",,,"Use config","Tourch Light",1200.0000,"Amazon Redshift is a fast and powerful, fully managed, petabyte-scale data warehouse service in the cloud. Customers can start small for just $0.25 per hour with no commitments or upfront costs and scale to a petabyte or more for $1,000 per terabyte per year, less than a tenth of most other data warehousing solutions.

Traditional data warehouses require significant time and resource to administer, especially for large datasets. In addition, the financial cost associated with building, maintaining, and growing self-managed, on-premise data warehouses is very high. Amazon Redshift not only significantly lowers the cost of a data warehouse, but also makes it easy to analyze large amounts of data very quickly.",,,,1,,,"2015-03-28 11:12:26",tourch-light,4,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
FM1233551-P-WH4629,,Default,simple,,Home,base,"Contemporary Furniture reflects designs that are current or en vogue. It doesnt necessarily reference historical design styles and often provides a feeling of everything in its place.

Furniture bought on Pepperfry.com is shipped for free and comes with a 1 Year Warrantee against any manufacturing defects. We also offer you a 30 Day Money Back Guarantee in case you are not satisfied with your purchase. So go ahead and buy with confidence.",no_selection,,"Use config","Santiago Single Seater Sofa in Natural Sheesham Finish with Mudramark",15999.0000,"Contemporary Furniture reflects designs that are current or en vogue. It doesnt necessarily reference historical design styles and often provides a feeling of everything in its place.
",,,9374.0000,2,,,"2015-03-28 11:10:59",santiago-single-seater-sofa-in-natural-sheesham-finish-with-mudramark,4,12.0000,6.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"Q&Q VP60-005",,Default,simple,,Home,base,"Dial Color: Black, Case Shape: Round, Dial Glass material: Acrylic
Band Color: Black, Band Material: Fiber
Watch Movement Type: Quartz, Watch Display Type: Analog
Case Material: Plastic
Water Resistance Depth: 100 meters, Buckle Clasp
1 Year International Warranty",/e/z/ez_6001-01a_mrp_5080.png,Timex,"Use config","Q&Q Standard Analog Black Dial Men's Watch VP60-005",594.0000,"Dial Color: Black, Case Shape: Round, Dial Glass material: Acrylic
Band Color: Black, Band Material: Fiber
Watch Movement Type: Quartz, Watch Display Type: Analog
Case Material: Plastic
Water Resistance Depth: 100 meters, Buckle Clasp
1 Year International Warranty",/e/z/ez_6001-01a_mrp_5080.png,Timex,,2,/e/z/ez_6001-01a_mrp_5080.png,Timex,"2015-03-28 11:05:55",q-q-standard-analog-black-dial-men-s-watch-vp60-005,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/e/z/ez_6001-01a_mrp_5080.png,Timex,1,0
,,,,Watches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watches/Wristwatches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S029-010Y,,Default,simple,,Home,base,"Dial Color: Gold, Case Shape: Round
Band Color: Gold, Band Material: Gold
Watch Movement Type: Quartz, Watch Display Type: Analog
Case Material: Brass
",no_selection,,"Use config","TIMEX WATCHE",1325.0000,"Product Specifications
Watch Information
Band Colour	Gold
Band Material	Gold
Brand	Q&Q
Case Material	Brass
Collection	Samurai
Dial Colour	Gold
Display Type	Analog
Case Shape	Round
Model Number	S029-010Y
Part Number	S029-010Y
Warranty Type	Manufacturer
Movement	Quartz",no_selection,,1320.0000,2,no_selection,,"2015-03-28 11:05:16",timex-watche,4,150.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Watches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watches/Wristwatches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T499879J,,Default,simple,,Home,base,"Dial Color: Black, Case Shape: Round
Band Color: , Band Material: Leather
Watch Movement Type: Quartz, Watch Display Type: Analog
 1 Year Domestic Warranty

",no_selection,,"Use config","Timex Expedition Analog Black Dial Men's Watch - T49987",5815.0000,"    Dial Color: Black, Case Shape: Round
    Band Color: , Band Material: Leather
    Watch Movement Type: Quartz, Watch Display Type: Analog
    1 Year Domestic Warranty

",no_selection,,,2,no_selection,,"2015-03-28 11:10:21",timex-expedition-analog-black-dial-men-s-watch-t49987,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Watches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watches/Wristwatches,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
